"","Gemeinde","Zulassungsjahr","Postleitzahl","Laengengrad","Breitengrad","Anzahl_betroffen_Jahr"
"217","AICHEN","2013","86479",10.53914,48.227088,1
"218","AICHEN","2014","86479",10.53914,48.227088,1
"219","AICHEN","2016","86479",10.53914,48.227088,1
"220","AICHHALDEN","2009","78733",8.398748,48.269444,3
"221","AICHHALDEN","2010","78733",8.398748,48.269444,4
"222","AICHHALDEN","2011","78733",8.398748,48.269444,4
"223","AICHHALDEN","2012","78733",8.398748,48.269444,1
"224","AICHHALDEN","2013","78733",8.398748,48.269444,3
"225","AICHHALDEN","2014","78733",8.398748,48.269444,5
"226","AICHHALDEN","2015","78733",8.398748,48.269444,9
"227","AICHHALDEN","2016","78733",8.398748,48.269444,8
"228","AICHSTETTEN","2009","88317",10.08067,47.892919,1
"229","AICHSTETTEN","2010","88317",10.08067,47.892919,2
"230","AICHSTETTEN","2012","88317",10.08067,47.892919,5
"231","AICHSTETTEN","2013","88317",10.08067,47.892919,4
"232","AICHSTETTEN","2014","88317",10.08067,47.892919,1
"233","AICHSTETTEN","2015","88317",10.08067,47.892919,3
"234","AICHSTETTEN","2016","88317",10.08067,47.892919,2
"235","AICHWALD","2009","73773",9.379855,48.75899,6
"236","AICHWALD","2010","73773",9.379855,48.75899,6
"237","AICHWALD","2011","73773",9.379855,48.75899,7
"238","AICHWALD","2012","73773",9.379855,48.75899,7
"239","AICHWALD","2013","73773",9.379855,48.75899,7
"240","AICHWALD","2014","73773",9.379855,48.75899,6
"241","AICHWALD","2015","73773",9.379855,48.75899,3
"242","AICHWALD","2016","73773",9.379855,48.75899,7
"243","AIDHAUSEN","2010","97491",10.436956,50.154108,3
"244","AIDHAUSEN","2012","97491",10.436956,50.154108,1
"245","AIDHAUSEN","2013","97491",10.436956,50.154108,1
"246","AIDHAUSEN","2015","97491",10.436956,50.154108,1
"247","AIDHAUSEN","2016","97491",10.436956,50.154108,1
"248","AIDLINGEN","2009","71134",8.896991,48.677969,6
"249","AIDLINGEN","2010","71134",8.896991,48.677969,6
"250","AIDLINGEN","2011","71134",8.896991,48.677969,9
"251","AIDLINGEN","2012","71134",8.896991,48.677969,7
"252","AIDLINGEN","2013","71134",8.896991,48.677969,7
"253","AIDLINGEN","2014","71134",8.896991,48.677969,19
"254","AIDLINGEN","2015","71134",8.896991,48.677969,8
"255","AIDLINGEN","2016","71134",8.896991,48.677969,13
"256","AIGLSBACH","2009","84089",11.707639,48.692993,1
"257","AIGLSBACH","2011","84089",11.707639,48.692993,1
"258","AIGLSBACH","2012","84089",11.707639,48.692993,2
"259","AIGLSBACH","2013","84089",11.707639,48.692993,1
"260","AIGLSBACH","2014","84089",11.707639,48.692993,1
"261","AIGLSBACH","2015","84089",11.707639,48.692993,1
"262","AIGLSBACH","2016","84089",11.707639,48.692993,2
"263","AITERHOFEN","2009","94330",12.62018,48.84583,3
"264","AITERHOFEN","2010","94330",12.62018,48.84583,1
"265","AITERHOFEN","2011","94330",12.62018,48.84583,5
"266","AITERHOFEN","2012","94330",12.62018,48.84583,3
"267","AITERHOFEN","2013","94330",12.62018,48.84583,2
"268","AITERHOFEN","2014","94330",12.62018,48.84583,5
"269","AITERHOFEN","2015","94330",12.62018,48.84583,5
"270","AITERHOFEN","2016","94330",12.62018,48.84583,3
"271","AITRACH","2009","88319",10.083889,47.940739,1
"272","AITRACH","2010","88319",10.083889,47.940739,3
"273","AITRACH","2011","88319",10.083889,47.940739,2
"274","AITRACH","2012","88319",10.083889,47.940739,2
"275","AITRACH","2013","88319",10.083889,47.940739,2
"276","AITRACH","2014","88319",10.083889,47.940739,2
"277","AITRACH","2015","88319",10.083889,47.940739,1
"278","AITRACH","2016","88319",10.083889,47.940739,2
"279","AITRANG","2010","87648",10.534541,47.817575,2
"280","AITRANG","2013","87648",10.534541,47.817575,1
"281","AITRANG","2014","87648",10.534541,47.817575,1
"282","AITRANG","2015","87648",10.534541,47.817575,1
"283","AKEN (ELBE)","2009","06385",12.043952,51.852549,9
"284","AKEN (ELBE)","2010","06385",12.043952,51.852549,8
"285","AKEN (ELBE)","2011","06385",12.043952,51.852549,4
"286","AKEN (ELBE)","2012","06385",12.043952,51.852549,9
"287","AKEN (ELBE)","2013","06385",12.043952,51.852549,5
"288","AKEN (ELBE)","2014","06385",12.043952,51.852549,6
"289","AKEN (ELBE)","2015","06385",12.043952,51.852549,6
"290","AKEN (ELBE)","2016","06385",12.043952,51.852549,7
"291","ALBACHING","2010","83544",12.110817,48.1108,1
"292","ALBACHING","2011","83544",12.110817,48.1108,3
"293","ALBACHING","2013","83544",12.110817,48.1108,1
"294","ALBACHING","2014","83544",12.110817,48.1108,2
"295","ALBACHING","2015","83544",12.110817,48.1108,1
"296","ALBACHING","2016","83544",12.110817,48.1108,2
"297","ALBBRUCK","2009","79774",8.130079,47.591149,6
"298","ALBBRUCK","2010","79774",8.130079,47.591149,9
"299","ALBBRUCK","2011","79774",8.130079,47.591149,12
"300","ALBBRUCK","2012","79774",8.130079,47.591149,7
"301","ALBBRUCK","2013","79774",8.130079,47.591149,8
"302","ALBBRUCK","2014","79774",8.130079,47.591149,11
"303","ALBBRUCK","2015","79774",8.130079,47.591149,10
"304","ALBBRUCK","2016","79774",8.130079,47.591149,6
"305","ALBERSWEILER","2009","76857",8.028507,49.219042,1
"306","ALBERSWEILER","2010","76857",8.028507,49.219042,1
"307","ALBERSWEILER","2012","76857",8.028507,49.219042,1
"308","ALBERSWEILER","2014","76857",8.028507,49.219042,1
"309","ALBERSWEILER","2015","76857",8.028507,49.219042,2
"310","ALBERSWEILER","2016","76857",8.028507,49.219042,1
"311","ALBERTSHOFEN","2011","97318",10.158976,49.770836,3
"312","ALBERTSHOFEN","2012","97318",10.158976,49.770836,2
"313","ALBERTSHOFEN","2014","97318",10.158976,49.770836,1
"314","ALBERTSHOFEN","2015","97318",10.158976,49.770836,1
"315","ALBIG","2009","55234",8.12235,49.773804,1
"316","ALBIG","2010","55234",8.12235,49.773804,1
"317","ALBIG","2011","55234",8.12235,49.773804,1
"318","ALBIG","2012","55234",8.12235,49.773804,1
"319","ALBIG","2013","55234",8.12235,49.773804,1
"320","ALDENHOVEN","2009","52457",6.281953,50.895696,9
"321","ALDENHOVEN","2010","52457",6.281953,50.895696,16
"322","ALDENHOVEN","2011","52457",6.281953,50.895696,9
"323","ALDENHOVEN","2012","52457",6.281953,50.895696,6
"324","ALDENHOVEN","2013","52457",6.281953,50.895696,10
"325","ALDENHOVEN","2014","52457",6.281953,50.895696,15
"326","ALDENHOVEN","2015","52457",6.281953,50.895696,13
"327","ALDENHOVEN","2016","52457",6.281953,50.895696,22
"328","ALDERSBACH","2009","94501",13.086094,48.589538,1
"329","ALDERSBACH","2010","94501",13.086094,48.589538,3
"330","ALDERSBACH","2011","94501",13.086094,48.589538,4
"331","ALDERSBACH","2012","94501",13.086094,48.589538,5
"332","ALDERSBACH","2013","94501",13.086094,48.589538,4
"333","ALDERSBACH","2014","94501",13.086094,48.589538,6
"334","ALDERSBACH","2015","94501",13.086094,48.589538,5
"335","ALDERSBACH","2016","94501",13.086094,48.589538,7
"336","ALDINGEN","2009","78554",8.702513,48.094541,2
"337","ALDINGEN","2010","78554",8.702513,48.094541,11
"338","ALDINGEN","2011","78554",8.702513,48.094541,4
"339","ALDINGEN","2012","78554",8.702513,48.094541,10
"340","ALDINGEN","2013","78554",8.702513,48.094541,6
"341","ALDINGEN","2014","78554",8.702513,48.094541,8
"342","ALDINGEN","2015","78554",8.702513,48.094541,7
"343","ALDINGEN","2016","78554",8.702513,48.094541,14
"344","ALESHEIM","2009","91793",10.866072,49.046568,1
"345","ALESHEIM","2012","91793",10.866072,49.046568,1
"346","ALESHEIM","2013","91793",10.866072,49.046568,1
"347","ALESHEIM","2016","91793",10.866072,49.046568,1
"348","ALETSHAUSEN","2009","86480",10.389531,48.1998,1
"349","ALETSHAUSEN","2010","86480",10.389531,48.1998,1
"350","ALETSHAUSEN","2011","86480",10.389531,48.1998,1
"351","ALETSHAUSEN","2015","86480",10.389531,48.1998,1
"352","ALETSHAUSEN","2016","86480",10.389531,48.1998,1
"353","ALFELD","2011","91236",11.543979,49.428806,1
"354","ALFHAUSEN","2009","49594",7.953473,52.503379,4
"355","ALFHAUSEN","2010","49594",7.953473,52.503379,3
"356","ALFHAUSEN","2011","49594",7.953473,52.503379,2
"357","ALFHAUSEN","2012","49594",7.953473,52.503379,4
"358","ALFHAUSEN","2013","49594",7.953473,52.503379,3
"359","ALFHAUSEN","2015","49594",7.953473,52.503379,5
"360","ALFHAUSEN","2016","49594",7.953473,52.503379,9
"361","ALFLEN","2013","56828",7.040537,50.177082,1
"362","ALFSTEDT","2009","27432",9.067399,53.548503,1
"363","ALFSTEDT","2012","27432",9.067399,53.548503,1
"364","ALFSTEDT","2013","27432",9.067399,53.548503,1
"365","ALFSTEDT","2014","27432",9.067399,53.548503,1
"366","ALFTER","2009","53347",7.013472,50.736995,22
"367","ALFTER","2010","53347",7.013472,50.736995,31
"368","ALFTER","2011","53347",7.013472,50.736995,22
"369","ALFTER","2012","53347",7.013472,50.736995,18
"370","ALFTER","2013","53347",7.013472,50.736995,25
"371","ALFTER","2014","53347",7.013472,50.736995,25
"372","ALFTER","2015","53347",7.013472,50.736995,22
"373","ALFTER","2016","53347",7.013472,50.736995,22
"374","ALGERMISSEN","2009","31191",9.970613,52.253687,11
"375","ALGERMISSEN","2010","31191",9.970613,52.253687,6
"376","ALGERMISSEN","2011","31191",9.970613,52.253687,12
"377","ALGERMISSEN","2012","31191",9.970613,52.253687,7
"378","ALGERMISSEN","2013","31191",9.970613,52.253687,6
"379","ALGERMISSEN","2014","31191",9.970613,52.253687,4
"380","ALGERMISSEN","2015","31191",9.970613,52.253687,8
"381","ALGERMISSEN","2016","31191",9.970613,52.253687,12
"382","ALHEIM","2009","36211",9.66857,51.024756,5
"383","ALHEIM","2010","36211",9.66857,51.024756,5
"384","ALHEIM","2011","36211",9.66857,51.024756,7
"385","ALHEIM","2012","36211",9.66857,51.024756,5
"386","ALHEIM","2013","36211",9.66857,51.024756,4
"387","ALHEIM","2014","36211",9.66857,51.024756,5
"388","ALHEIM","2015","36211",9.66857,51.024756,7
"389","ALHEIM","2016","36211",9.66857,51.024756,7
"390","ALLENDORF (EDER)","2009","35108",8.670062,51.026336,2
"391","ALLENDORF (EDER)","2010","35108",8.670062,51.026336,4
"392","ALLENDORF (EDER)","2011","35108",8.670062,51.026336,7
"393","ALLENDORF (EDER)","2012","35108",8.670062,51.026336,1
"394","ALLENDORF (EDER)","2013","35108",8.670062,51.026336,5
"395","ALLENDORF (EDER)","2014","35108",8.670062,51.026336,6
"396","ALLENDORF (EDER)","2015","35108",8.670062,51.026336,9
"397","ALLENDORF (EDER)","2016","35108",8.670062,51.026336,12
"398","ALLENSBACH","2009","78476",9.070194,47.715742,5
"399","ALLENSBACH","2010","78476",9.070194,47.715742,4
"400","ALLENSBACH","2011","78476",9.070194,47.715742,7
"401","ALLENSBACH","2012","78476",9.070194,47.715742,8
"402","ALLENSBACH","2013","78476",9.070194,47.715742,4
"403","ALLENSBACH","2014","78476",9.070194,47.715742,9
"404","ALLENSBACH","2015","78476",9.070194,47.715742,9
"405","ALLENSBACH","2016","78476",9.070194,47.715742,13
"406","ALLERSHAUSEN","2009","85391",11.598275,48.429879,4
"407","ALLERSHAUSEN","2010","85391",11.598275,48.429879,7
"408","ALLERSHAUSEN","2011","85391",11.598275,48.429879,4
"409","ALLERSHAUSEN","2012","85391",11.598275,48.429879,7
"410","ALLERSHAUSEN","2013","85391",11.598275,48.429879,7
"411","ALLERSHAUSEN","2014","85391",11.598275,48.429879,4
"412","ALLERSHAUSEN","2015","85391",11.598275,48.429879,7
"413","ALLERSHAUSEN","2016","85391",11.598275,48.429879,9
"414","ALLING","2009","82239",11.299015,48.141556,5
"415","ALLING","2010","82239",11.299015,48.141556,4
"416","ALLING","2011","82239",11.299015,48.141556,5
"417","ALLING","2013","82239",11.299015,48.141556,3
"418","ALLING","2014","82239",11.299015,48.141556,3
"419","ALLING","2015","82239",11.299015,48.141556,5
"420","ALLING","2016","82239",11.299015,48.141556,6
"421","ALLMANNSHOFEN","2011","86695",10.804495,48.612811,1
"422","ALLMENDINGEN","2009","89604",9.72429,48.330714,5
"423","ALLMENDINGEN","2011","89604",9.72429,48.330714,3
"424","ALLMENDINGEN","2012","89604",9.72429,48.330714,7
"425","ALLMENDINGEN","2013","89604",9.72429,48.330714,10
"426","ALLMENDINGEN","2014","89604",9.72429,48.330714,5
"427","ALLMENDINGEN","2015","89604",9.72429,48.330714,5
"428","ALLMENDINGEN","2016","89604",9.72429,48.330714,11
"429","ALLSTEDT","2009","06542",11.384492,51.401795,12
"430","ALLSTEDT","2010","06542",11.384492,51.401795,12
"431","ALLSTEDT","2011","06542",11.384492,51.401795,5
"432","ALLSTEDT","2012","06542",11.384492,51.401795,11
"433","ALLSTEDT","2013","06542",11.384492,51.401795,8
"434","ALLSTEDT","2014","06542",11.384492,51.401795,8
"435","ALLSTEDT","2015","06542",11.384492,51.401795,9
"436","ALLSTEDT","2016","06542",11.384492,51.401795,10
"437","ALPEN","2009","46519",6.511241,51.575134,10
"438","ALPEN","2010","46519",6.511241,51.575134,16
"439","ALPEN","2011","46519",6.511241,51.575134,14
"440","ALPEN","2012","46519",6.511241,51.575134,13
"441","ALPEN","2013","46519",6.511241,51.575134,14
"442","ALPEN","2014","46519",6.511241,51.575134,12
"443","ALPEN","2015","46519",6.511241,51.575134,12
"444","ALPEN","2016","46519",6.511241,51.575134,15
"445","ALPENROD","2009","57642",7.869988,50.631178,1
"446","ALPENROD","2010","57642",7.869988,50.631178,1
"447","ALPENROD","2011","57642",7.869988,50.631178,1
"448","ALPENROD","2014","57642",7.869988,50.631178,1
"449","ALPENROD","2016","57642",7.869988,50.631178,2
"450","ALSDORF","2011","52477",6.161607,50.874052,41
"451","ALSDORF","2012","52477",6.161607,50.874052,45
"452","ALSDORF","2013","52477",6.161607,50.874052,30
"453","ALSDORF","2014","52477",6.161607,50.874052,37
"454","ALSDORF","2015","52477",6.161607,50.874052,50
"455","ALSDORF","2016","52477",6.161607,50.874052,50
"456","ALSDORF1","2011","54668",6.465431,49.887732,38
"457","ALSDORF1","2012","54668",6.465431,49.887732,39
"458","ALSDORF1","2013","54668",6.465431,49.887732,36
"459","ALSDORF1","2014","54668",6.465431,49.887732,54
"460","ALSDORF1","2015","54668",6.465431,49.887732,43
"461","ALSDORF1","2016","54668",6.465431,49.887732,39
"462","ALSDORF2","2011","57518",7.882849,50.77617,44
"463","ALSDORF2","2012","57518",7.882849,50.77617,29
"464","ALSDORF2","2013","57518",7.882849,50.77617,29
